Description,TotalSales,AvgProfitMargin,TargetBrand
Ch St Jean Cab Svgn Cal,194248.56,41.21578044,No
Smirnoff Watermelon Vodka,163212.63,30.14964589,No
Zhenka Raspberry Vodka,161886.13,29.60118325,No
Clos du Bois Pnt Grigio Cal,157241.37,27.66992554,No
Three Olives Espresso Vodka,143416.71,20.80178105,No
Three Olives Grape Vodka,161175.13,64.3950215,No
Don Julio 1942 Anejo Tequila,136151.79,16.74113135,No
Parrot Bay 90 Coconut Capt,167640.63,32.38594964,No
The Macallan 18 Yr Old,133394.74,39.12237453,No
Almaden Cab Svgn Cal B/B,173797.08,34.90063239,No
Ca'Momi Merlot Napa Valley,154967.99,27.08894269,No
Catena Lunlunta Malbec Argn,187011.91,39.58769792,No
Grey Goose L'Orange Vodka,191875.92,51.06976314,No
Courvoisier VSOP Cognac,137866.67,18.12701358,No
Mr Boston Coffee Brandy,165412.13,31.78247569,No
Glen Ellen Merlot RSV,164946.99,31.52030173,No
Malibu Rum Traveler,162655.16,30.71193684,No
Stone Cellars Chard,185085.32,39.13810128,No
Bogle Essential Red,186549.84,39.91605675,No
Glenmorangie Original 10 Yr,148432.79,24.87107465,No
Josh Cellars Legacy Red,156988.39,29.05393832,No
Smirnoff Kissed Caramel,252290.92,25.94067889,No
Patron XO Cafe Liqueur,184025.3,24.97247555,No
Barefoot Bubbly Pink Moscato,203011.37,33.55527944,No
14 Hands Hot to Trot Red,168780.04,34.82224557,No
MacMurray Ranch C Cst Pnt Nr,186135.73,40.90919567,No
Erath Pnt Nr Oregon,164008.15,32.94432624,No
Oyster Bay Chard Marlboro,127787.99,14.33473521,No
Highland Park 12 Yr Single,138993.49,21.6758641,No
Ruffino Chianti Clsc RSV Tan,167311.09,34.97167462,No
Smirnoff Blueberry Vodka,270041.56,24.93113889,No
E & J XO Brandy,216644.22,21.69314785,No
Remy Martin XO Cognac,129066.49,16.12913623,No
Jenkins Rum,240317.98,27.31762465,No
Ronrico Gold,133524.21,19.01938233,No
Glenmorangie Original 18Yr,126639.7,14.648945,No
Zhenka Tropical Dark Rum,157493.97,31.56513865,No
Miraval Cotes de Prvnce Rose,165657.54,34.96089583,No
Bulleit 10 Yr Old Bourbon,134604.65,20.07794679,No
St Francis Cab Svgn Sonoma,197484.76,45.74768706,No
Il Tramonto Limoncello,132009.93,19.08995785,No
Oban Little Bay Single Malt,135382.58,21.55889628,No
R Mondavi Cab Svgn Pvt Sel,188333.86,43.67458937,No
Smoking Loon Pnt Grigio Cal,169510.57,37.43664481,No
Black Box Svgn Bl,165918.04,36.08796247,No
Mark West Chard Sonoma Cnty,175833.73,39.8288656,No
Buehler Chard RRV,161330.26,34.43676344,No
Querceto Chianti Clsc RSV,143436.15,26.36702812,No
Dr McGillicuddy's Apple Pie,148264.02,62.65276037,No
Josh Cellars Pnt Nr,165773.68,36.42624088,No
Dom Chandon Rose Spklg,169419.25,38.11301051,No
Jack Daniels Winter Jack,124092.17,15.51470975,No
Burnetts Gin,166549.45,37.07014944,No
Benchmark Old #8 Bourbon,139130.56,24.72738556,No
Woodford Reserve Double Oak,147315.99,28.98474225,No
Leroux Blackberry Brandy,243566.02,26.19974396,No
Wente Morning Fog Chard,161133.81,35.0946707,No
Silver Oak Cab Svgn Napa,188877.73,44.63782999,No
Columbia Crest G E Cab Svgn,183749.32,43.12253237,No
Old Grand Dad,143693.33,54.94217449,No
A to Z Pnt Gris Ore,121242.67,13.85659851,No
Hiram Walker Coffee Brandy,135315.82,22.83267396,No
Barefoot Premium X-Dry,150188.07,30.48134249,No
Taaka Gin,137494.66,24.0780551,No
Jeffersons Reserve Bourbon,133278.46,21.76180607,No
Phillips Earthquake Ld Znfdl,152217.7,31.54593717,No
Sonoma-Cutrer Chard Sonoma,192344.34,45.94246964,No
Mr Boston Dark Rum,130627.43,20.41450253,No
Dr McGillicuddy's Butterscth,145183.62,28.46314205,No
Aberlour Glenlivet 12 Yr,143989.54,27.95076642,No
Gascon Malbec Mendoza,190040.43,45.52748591,No
The Macallan Fine Oak 15 Yr,156141.13,33.74245466,No
Gold Crown Wh Rum,136024.92,24.20468249,No
Canadian Club 1858,138305.41,25.58425589,No
Jose Cuervo Gold w/Marg Mix,132660.36,22.50578847,No
Smirnoff Green Apple Vodka,241949.9,27.73772443,No
Villa Maria Svgn Bl Pvt Bin,171790.64,40.24433462,No
Bacardi 151 Proof,161219.35,36.44758523,No
Hess Select Cab Svgn,176810.6,42.22772843,No
Bacardi Dragon Berry Rum,322292.83,34.37387292,No
Bota Box Pnt Grigio Cal,164562.84,38.08249785,No
Beringer Classic Pnt Grigio,272994.48,38.972192,No
Ruffino Prosecco Sparkling,145221.51,29.97760456,No
1800 Ultimate Margarita RTD,149258.32,31.93817939,No
Silverado Cab Svgn Napa,173540.89,41.50548611,No
Jenkins Gin,137664.73,26.26887076,No
Spellbound Cab Svgn Cal,181882.25,44.34919845,No
